link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,MPR,truck,Distr.,Volume,TTCs,,,
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,1800,47,82.4,28.56558474,-3.099209595,15.12995426,1375.4,33.57330239,2.203457999,44.33152014,1458.4,123.6257755,,,0,0.02,6,1800,512.8,,0,430.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,2000,47,75.6,30.15959114,-2.660098589,19.18493791,1385.4,33.90771311,2.32126149,48.67113537,1460.8,133.0493788,,,0,0.02,6,2000,552.2,,0,476.6
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,600,47,7,36.80189371,-0.137263996,0,547.6,48.57146977,0.282867574,0,555.2,0.620120024,,,0,0.02,7,600,0,,0,-7
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,800,47,9,36.1282056,0.258229101,0,723.8,47.6962864,0.41089314,0,733.4,0.941825816,,,0,0.02,7,800,0,,0,-9
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,1000,47,20,35.89990837,-1.030193493,0,898.2,46.14210219,0.574462212,0,918.6,1.617820124,,,0,0.02,7,1000,0,,0,-20
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,1200,47,30.2,33.80237847,-2.628946438,0,1082.8,43.53994138,0.809216978,0,1113.6,3.055739801,,,0,0.02,7,1200,0,,0,-30.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,1500,47,116.4,28.07271392,-3.558059153,0,1267.2,33.15979614,1.322918018,1.758171548,1382.8,17.09908517,,,0,0.02,7,1500,18.4,,0,-98
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,1800,47,112.4,28.14505643,-2.651133936,16.3235973,1357.2,31.12723624,2.178501989,44.45674527,1471.4,124.3002521,,,0,0.02,7,1800,507.2,,0,394.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,7,2000,47,104,28.59483233,-2.871529507,21.19577655,1369.4,31.61962592,2.10813255,47.77701304,1473.6,132.9500173,,,0,0.02,7,2000,519.2,,0,415.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,600,47,6.8,36.43673075,1.004927218,0,548,48.920438,0.249960765,0,555.2,0.7405713,,,0,0.02,8,600,0,,0,-6.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,800,47,8.6,36.9485216,0.000196379,0,724.2,48.24498781,0.426686781,0,733.4,1.098319196,,,0,0.02,8,800,0,,0,-8.6
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,1000,47,14.2,35.84935352,-1.342576505,0,903.8,46.95012302,0.603079462,0,918.6,1.847367146,,,0,0.02,8,1000,0,,0,-14.2
