link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,2000,47,597.6,10.906737579545101,-0.5488667212803646,57.56557492449497,715.2,8.66227001475346,0.0930151669717513,144.26738208450462,1313.0,222.24519409878798
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,600,47,15.2,35.79050504504294,-2.6324780360605757,0.0,539.4,48.459987690099844,-0.09685411605939101,0.0,555.0,0.6297404900267723
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,800,47,33.8,36.402673861321965,-2.603609640781695,0.0,699.0,47.13383217649334,-0.09726972386417539,0.0,733.2,0.9835587393437548
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,1000,47,57.4,34.59643281416883,-3.602459397032549,0.0,860.8,44.91050715087799,-0.20307820255744904,0.0007848530340082644,918.0,1.661941784387297
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,1200,47,124.8,30.754846192365086,-4.823629621533329,0.0,987.8,39.544891704563945,-0.26414925264253764,0.08596571277826395,1113.6,4.114920478458567
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,1500,47,500.8,15.354711158173245,-1.7541476813323684,9.143569475813333,830.6,14.18854177498389,0.080978852131848,35.952463625837154,1327.6,75.97450817907925
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,1800,47,545.0,12.65742504546932,-0.7874981060280417,46.353159987492255,787.8,10.209889653227183,0.2044155470291434,116.26385713335526,1333.8,197.36474544702435
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,3,2000,47,541.8,13.471998798883396,-0.8607439336144538,44.8824842945766,802.0,10.68818635419355,0.2873694797052598,116.5762840796514,1344.6,200.49381735960247
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,600,47,15.0,36.4255235615468,-1.7657747556265218,0.0,539.6,48.42280459810452,-0.11138241696268883,0.0003030303030303029,555.0,0.6325730857492914
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,800,47,32.2,36.42644226318189,-2.6745891218743516,0.0,700.4,47.37340684340127,-0.07888094671625137,0.0,733.2,0.9104469777390944
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,1000,47,55.0,34.634489553893374,-3.8136527858556235,0.0,863.2,44.98995903757496,-0.1488338560631487,0.0,918.2,1.636782705997695
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,1200,47,119.4,30.624832362763545,-4.831307655735678,0.0,993.0,39.572508713603156,-0.2238440816970952,0.0623921472555947,1113.2,4.24976600571868
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,1500,47,485.8,15.131247636648856,-1.7071284227618655,8.366337329187472,845.4,15.092540539074847,0.1417629142360125,36.555346158784275,1328.8,76.36839302956861
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,1800,47,512.4,14.43512522201886,-1.0495800014359453,39.849462399697,840.2,11.50351556641644,0.3669246963736599,102.48132635063936,1352.8,186.30657707654646
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,4,2000,47,521.6,14.352852397593589,-0.9348407846627153,45.11639966393394,832.6,11.12879690987111,0.3531193291374608,110.94618280467505,1355.2,196.9271326867979
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,600,47,9.6,36.73404472394504,-1.29627822434423,0.0,545.0,48.13247050437271,0.20876684950405525,0.0,555.0,0.6234625558660227
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,800,47,21.4,37.22035006976307,-1.4023015839492665,0.0,711.2,47.070297572932525,0.2057528678021175,0.0,733.0,0.9318806253882792
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,1000,47,36.4,35.21036084310659,-3.460188902436233,0.0,881.8,45.23527400421582,0.2381732794814683,0.0,918.6,1.6105592535625994
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,1200,47,73.8,32.783478352979515,-3.561041687070046,0.0,1039.2,41.28883672068877,0.30878643527810834,0.0026553672316384194,1113.6,3.334172960142619
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,1500,47,347.2,19.612754774127406,-2.626724915841639,1.0166041527386445,1009.8,22.031483079822276,0.5493762665473639,13.303105360554937,1354.4,44.23981044744663
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,1800,47,410.0,18.506206617052,-1.804861256258993,19.26963248188432,985.4,15.467218503261709,0.7134650470739772,77.6582725535919,1396.4,160.51579419495113
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,5,2000,47,413.4,18.62660964571449,-1.838635939932039,23.742595414585416,989.4,15.489777317948647,0.5835380717952539,82.08598788434128,1403.2,168.9815408391416
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,600,47,8.2,35.542994833984906,-2.3701393851213473,0.0,546.2,48.41079131733051,0.24413487419800273,0.0,555.2,0.7255089239977586
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,800,47,13.0,36.98081122281085,-1.9252501973386784,0.0,719.8,47.60754781666937,0.34377777101781615,0.0,733.4,1.0330419399931396
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,1000,47,28.2,34.91598941866813,-1.8743246410653456,0.0,890.0,45.36565611016168,0.4016667213593779,0.0,918.6,1.9252533664504015
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,1200,47,59.6,32.795837577299686,-3.0117292921017564,0.0,1053.2,41.68409309608931,0.6351166841249383,0.0,1113.0,4.04664678359625
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,1500,47,261.6,23.21153611253831,-2.7810603178956868,0.610701102232466,1103.4,25.149966138973234,0.8989196121726326,8.151563372134747,1362.4,37.81276797590319
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,1800,47,350.4,20.075439971129356,-1.9557363908096566,13.714956746650625,1055.8,18.182396764288434,0.8799078267375238,59.22594148259085,1405.2,141.60667074681015
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,6,2000,47,331.6,20.30755337739496,-2.1839105225677886,16.03703446416301,1063.8,18.813150015167047,1.0121995901350604,65.75594565422884,1395.8,153.31471861120932
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,600,47,9.0,34.89545835521014,-3.0208911974006187,0.0,545.4,48.42061313620196,0.2251924376899775,0.0,555.2,0.7052499359663555
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,800,47,16.0,36.44157433468843,-2.556019027345459,0.0,716.8,47.37173490247096,0.3088515140481561,0.0,733.4,1.0619597637610418
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,1000,47,34.6,34.58010891199503,-3.1729178046846993,0.0,883.6,45.35258838910907,0.3384827206617386,0.0,918.6,1.9066361408625987
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,1200,47,66.8,32.872790677656305,-3.7540794997357905,0.0,1045.8,41.40237114294961,0.4447557620228991,0.0,1113.2,3.832998769340699
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,1500,47,295.8,22.57644406738997,-3.043445881585364,0.5194577889255699,1071.0,24.019706018871926,0.7240188935044375,7.0698626325831695,1364.2,35.242917143057376
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,1800,47,363.0,19.55825055164221,-1.9743675554023823,16.482197086810142,1036.2,17.47499010905552,0.9077293016621738,61.395537499117495,1399.6,145.58543589127405
