link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,
7 : AV-WZ,0,0.01,0.8,0.2,5,1500,47,322.8,19.49139433,-2.047961256,7.217688538,981.6,18.12893884,0.786340999,36.02951543,1304.8,96.01258471,,,
7 : AV-WZ,0,0.01,0.8,0.2,5,1800,47,317,19.67537469,-1.931990799,19.2320824,995.8,17.62175928,0.920341231,72.45993061,1312.8,162.2299541,,,
7 : AV-WZ,0,0.01,0.8,0.2,5,2000,47,311.2,19.9458305,-1.961829625,23.63399172,999.6,17.51622319,0.939951701,75.53725372,1311.6,168.7851253,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,600,47,8,36.45945806,-1.861566854,0,546.4,48.12629359,0.276034139,0,555.2,0.833490297,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,800,47,10.4,35.77454355,-2.546660894,0,722.6,47.14222847,0.36516748,0,733.4,1.214305206,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,1000,47,20,35.42986071,-1.216900429,0,898.8,44.76196597,0.664752307,0,919.4,2.326199651,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,1200,47,56.6,30.96433352,-2.457456092,0,1055.2,39.51196476,0.864593648,0.017311204,1112.4,6.018456679,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,1500,47,268,21.39618739,-2.480785362,3.153820741,1043.2,20.16544515,1.036382615,25.87591561,1309.6,84.42686423,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,1800,47,256.6,21.77396855,-2.448564196,13.19681678,1062.6,20.41233594,1.182092745,54.99491892,1319.6,144.7716558,,,
7 : AV-WZ,0,0.01,0.8,0.2,6,2000,47,262.8,21.18101483,-2.25533195,15.97078642,1046.2,19.98754724,1.192166337,61.10316073,1309.8,153.0802959,,,
7 : AV-WZ,0,0.01,0.8,0.2,7,600,47,9,36.17675103,-2.930896911,0,545.4,48.09327162,0.244632522,0,555.2,0.804835113,,,
7 : AV-WZ,0,0.01,0.8,0.2,7,800,47,12.6,35.68052356,-2.807321294,0,720.4,47.05521739,0.350379703,0,733.4,1.207766237,,,
7 : AV-WZ,0,0.01,0.8,0.2,7,1000,47,26.8,34.35764706,-1.789429358,0,892,44.83414727,0.532142204,0,919.4,2.15382813,,,
7 : AV-WZ,0,0.01,0.8,0.2,7,1200,47,72,30.71059155,-3.775965983,0,1039.2,38.81463575,0.689693913,0.013349534,1111.8,5.912285636,,,
7 : AV-WZ,0,0.01,0.8,0.2,7,1500,47,290,20.52145345,-2.132726807,4.883473778,1015.2,18.76726525,0.974003315,34.07945791,1305,96.46635343,,,
