link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,7,2000,43,191.0,25.986453106469998,-2.9254105155548564,17.01413612565442,1297.0,25.81139996534134,1.7388552065015843,49.57794911333786,1490.0,136.13941883092593
7 : AV-WZ,0,0.01,0.98,0.02,8,600,43,6.0,34.413689046716385,-2.3913308055198375,0.0,545.0,48.85623096163492,0.19155208373982938,0.0,551.0,0.6994707343479504
7 : AV-WZ,0,0.01,0.98,0.02,8,800,43,14.0,36.63591658279617,-1.8343691525278865,0.0,716.0,48.36930101909089,0.2727012264164695,0.0,730.0,0.9621548721576991
7 : AV-WZ,0,0.01,0.98,0.02,8,1000,43,22.0,35.6328047637473,-3.0887423781948993,0.0,877.0,46.95004052135661,0.561298204335841,0.0,900.0,1.5217720820403098
7 : AV-WZ,0,0.01,0.98,0.02,8,1200,43,24.0,36.202941761148864,-2.728102333211213,0.0,1046.0,45.3158873858113,0.6649281797075433,0.0,1072.0,2.4874665806844907
7 : AV-WZ,0,0.01,0.98,0.02,8,1500,43,73.0,32.59607301272854,-2.6255386803241443,0.0,1272.0,38.05417202961409,1.3767493309192291,0.0,1347.0,10.064228013498123
7 : AV-WZ,0,0.01,0.98,0.02,8,1800,43,168.0,28.90688812968818,-2.1915806875603634,5.303571428571444,1321.0,30.525538326222467,1.824054152116588,26.944663133989366,1490.0,95.84312288228563
7 : AV-WZ,0,0.01,0.98,0.02,8,2000,43,159.0,27.62803473558012,-2.665570674964361,3.7698113207547324,1337.0,29.65431418248593,1.8047965613134982,30.534928945400168,1496.0,107.86386372011933
7 : AV-WZ,0,0.01,0.9,0.1,1,600,43,11.0,35.15673209739688,-2.7190403456907073,0.0,540.0,50.02469662703052,-1.029853766472602,0.0,552.0,0.5873998249023703
7 : AV-WZ,0,0.01,0.9,0.1,1,800,43,33.0,37.61247698878584,-1.7734080202767966,0.0,698.0,48.656923139477705,-0.859906898930375,0.0,730.0,0.796181593584025
7 : AV-WZ,0,0.01,0.9,0.1,1,1000,43,59.0,35.14385446292909,-3.965446749626111,0.0,840.0,46.80033540095146,-0.8843504697873974,0.0038095238095238034,900.0,1.3575688901161747
7 : AV-WZ,0,0.01,0.9,0.1,1,1200,43,107.0,32.33784690414696,-5.673602626289618,0.0,962.0,43.760144283674975,-0.9465756536585577,0.007796257796257804,1072.0,2.162412979070517
7 : AV-WZ,0,0.01,0.9,0.1,1,1500,43,600.0,10.713148982098128,-0.8136787446815544,5.948500000000011,699.0,8.466653445112412,0.05045817986351913,40.23962804005699,1297.0,74.42204602546674
7 : AV-WZ,0,0.01,0.9,0.1,1,1800,43,591.0,11.85343804927555,-0.5449654426371685,49.37089678510973,745.0,9.106285290194037,0.2190755715798516,119.60751677852032,1338.0,195.7745338430748
7 : AV-WZ,0,0.01,0.9,0.1,1,2000,43,610.0,10.594595048555794,-0.4866872593454258,71.72163934426128,706.0,7.980554695962158,0.24055265304208123,156.66317280452793,1315.0,229.9590411639277
7 : AV-WZ,0,0.01,0.9,0.1,2,600,43,9.0,37.64178041918026,0.38441604743728286,0.0,542.0,48.97917158892035,-0.14238333368711212,0.0,551.0,0.4103189206897766
7 : AV-WZ,0,0.01,0.9,0.1,2,800,43,30.0,36.937006554357446,-1.7752311047335825,0.0,700.0,47.84468651948307,-0.16436035864201262,0.0,730.0,0.6567352368415568
7 : AV-WZ,0,0.01,0.9,0.1,2,1000,43,52.0,34.67705805099383,-4.577678311087336,0.0,847.0,45.32143583622675,-0.22131236039251764,0.0,898.0,1.3053051295431104
7 : AV-WZ,0,0.01,0.9,0.1,2,1200,43,80.0,34.32033543299995,-4.751649492554952,0.0,990.0,43.6395217211495,-0.33037995617836924,0.006666666666666663,1072.0,1.8728524630871226
7 : AV-WZ,0,0.01,0.9,0.1,2,1500,43,509.0,14.898817553974036,-1.6722333948131602,1.3198428290766189,809.0,14.193244050128966,-0.17994997871747107,15.689864029666321,1316.0,41.596991073943336
7 : AV-WZ,0,0.01,0.9,0.1,2,1800,43,512.0,13.835504644863638,-0.9189320671653657,43.209374999999596,842.0,11.488736562444714,0.4710315600395876,106.00534441804969,1355.0,189.6836772023216
7 : AV-WZ,0,0.01,0.9,0.1,2,2000,43,510.0,15.037222699957914,-0.8190668861244749,47.36019607843103,846.0,11.510873893135788,0.3359502259063595,113.23002364065927,1360.0,198.29438851059982
7 : AV-WZ,0,0.01,0.9,0.1,3,600,43,10.0,38.067125694983105,0.1775640458613123,0.0,541.0,48.820245015835006,-0.0794714929513341,0.0,551.0,0.48530699333555655
7 : AV-WZ,0,0.01,0.9,0.1,3,800,43,25.0,37.918313818216824,-1.1672523822908432,0.0,705.0,48.06513584035555,-0.07035214896346002,0.0,730.0,0.649372251783132
7 : AV-WZ,0,0.01,0.9,0.1,3,1000,43,35.0,36.40001313808288,-3.8722645613906588,0.0,864.0,45.22484312926318,-0.1703901999054151,0.0,897.0,1.3729032859619164
7 : AV-WZ,0,0.01,0.9,0.1,3,1200,43,75.0,33.2635446780598,-4.839076445128053,0.0,994.0,42.35340081775038,-0.184675366954993,0.0,1072.0,2.682567481878886
7 : AV-WZ,0,0.01,0.9,0.1,3,1500,43,416.0,17.418061744932647,-2.4913627986414553,0.5723557692307689,915.0,19.606803528283447,0.08606986354182748,7.4819672131147845,1326.0,29.53687510896478
7 : AV-WZ,0,0.01,0.9,0.1,3,1800,43,452.0,16.625032939740734,-1.3988290188310053,38.92942477876081,922.0,13.337534425030512,0.5974334027004677,89.54490238611544,1375.0,175.37467348032192
7 : AV-WZ,0,0.01,0.9,0.1,3,2000,43,480.0,15.040875256976038,-1.0888504664914151,37.694791666666404,888.0,12.556463833747628,0.45178554762649703,99.41914414414202,1369.0,186.8474231040481
7 : AV-WZ,0,0.01,0.9,0.1,4,600,43,10.0,38.10677788481294,0.17810821376161626,0.0,541.0,48.66906501897202,-0.08384666782997542,0.0,551.0,0.5173010238598857
7 : AV-WZ,0,0.01,0.9,0.1,4,800,43,28.0,37.48967871557974,-1.3881640794614134,0.0,702.0,48.030748138759115,-0.09588686477137828,0.0,730.0,0.6933358298637007
7 : AV-WZ,0,0.01,0.9,0.1,4,1000,43,37.0,35.17686434098501,-2.5271046436971893,0.0,862.0,45.08386495618868,0.0039006565079466727,0.0,898.0,1.529963023171564
7 : AV-WZ,0,0.01,0.9,0.1,4,1200,43,79.0,33.18264581088664,-4.811834163217425,0.0,990.0,42.71122107838416,-0.27064208476033663,0.0,1072.0,2.4512053867660684
7 : AV-WZ,0,0.01,0.9,0.1,4,1500,43,405.0,18.563990013451406,-2.914551615014134,0.560740740740742,931.0,19.24842805963032,0.3224666310666272,4.495918367346944,1337.0,25.781810732717318
7 : AV-WZ,0,0.01,0.9,0.1,4,1800,43,418.0,17.414555674218608,-1.5080980395092092,35.470334928229455,960.0,13.950518501869446,0.6131344392888561,83.73854166666497,1379.0,169.82423475984623
