link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,5,1200,43,2.0,35.74772771569164,0.15953395212201243,0.0,177.0,44.94327299968717,0.5033399468166482,0.0,179.0,1.7057743928155673
7 : AV-WZ,0,0.01,0.98,0.02,5,1500,43,9.0,37.41493840516686,-0.7647927834779533,0.0,218.0,41.20718520449288,0.27497320629133093,0.0,226.0,3.207969548723314
7 : AV-WZ,0,0.01,0.98,0.02,5,1800,43,71.0,15.636920066026727,-1.9477009381914752,0.23098591549295738,176.0,25.0529347389393,0.10263218124902895,5.3227272727272945,240.0,24.93006012272691
7 : AV-WZ,0,0.01,0.98,0.02,5,2000,43,78.0,12.684170068075368,-1.2622473691865732,2.185897435897434,158.0,19.0226073226617,-0.021090983765957628,26.51708860759488,232.0,57.884166986698624
7 : AV-WZ,0,0.01,0.98,0.02,6,600,43,0.0,0.0,0.0,0.0,83.0,49.3112309534959,0.03405700017556855,0.0,82.0,0.40811674785097385
7 : AV-WZ,0,0.01,0.98,0.02,6,800,43,1.0,34.84267332335866,0.0,0.0,119.0,48.62124015593226,0.2793842017595322,0.0,118.0,0.8544652792392564
7 : AV-WZ,0,0.01,0.98,0.02,6,1000,43,2.0,41.02913966692011,-0.8202099737532808,0.0,153.0,47.36313681747104,0.18841374359247381,0.0,154.0,1.0103295596646378
7 : AV-WZ,0,0.01,0.98,0.02,6,1200,43,5.0,34.90403368847849,-4.265625315547354,0.0,174.0,45.171851038690704,0.784666726961482,0.0,178.0,1.914932481489249
7 : AV-WZ,0,0.01,0.98,0.02,6,1500,43,8.0,30.425372093784908,-4.6579779304086335,0.0,219.0,39.151775092331775,1.2611917662593461,0.0,226.0,5.0414612694624505
7 : AV-WZ,0,0.01,0.98,0.02,6,1800,43,48.0,22.48377421964487,-2.9188909558595553,0.0,202.0,25.05136279245523,0.5694595958001336,2.272277227722779,245.0,24.92522469055546
7 : AV-WZ,0,0.01,0.98,0.02,6,2000,43,60.0,19.996289074673893,-2.2977179419316727,0.056666666666666705,194.0,23.207317082215674,0.578353677555618,13.13453608247424,249.0,47.62393489440901
7 : AV-WZ,0,0.01,0.98,0.02,7,600,43,1.0,32.64270861357695,-9.604306934256522,0.0,82.0,49.19066919566269,0.08714092305675172,0.0,82.0,0.3840792996275845
7 : AV-WZ,0,0.01,0.98,0.02,7,800,43,1.0,34.84267332335866,0.0,0.0,119.0,48.54144124733082,0.42431692106399516,0.0,118.0,0.8258777485985174
7 : AV-WZ,0,0.01,0.98,0.02,7,1000,43,4.0,36.62122634068783,-4.1532382136701385,0.0,151.0,46.962256394544085,0.3179665914124454,0.0,154.0,1.1137251228119212
7 : AV-WZ,0,0.01,0.98,0.02,7,1200,43,3.0,37.42427942713115,-0.2734033245844269,0.0,176.0,46.36605713081303,0.3282670287456709,0.0,178.0,1.3108694253311872
7 : AV-WZ,0,0.01,0.98,0.02,7,1500,43,16.0,32.36792299839842,-3.386456589880716,0.0,211.0,37.65628632218982,0.6994488159136666,0.0,226.0,5.780088362068901
7 : AV-WZ,0,0.01,0.98,0.02,7,1800,43,60.0,21.60324110884355,-2.947309537515757,0.0,192.0,24.310582784191173,0.8517957038402247,2.6546875,248.0,23.496385306978414
7 : AV-WZ,0,0.01,0.98,0.02,7,2000,43,41.0,24.698446179421286,-3.512294128647294,1.7097560975609842,211.0,25.031342544766193,1.1599136130271168,11.100000000000033,249.0,48.23291784553468
7 : AV-WZ,0,0.01,0.98,0.02,8,600,43,0.0,0.0,0.0,0.0,83.0,49.47833735517292,-0.008051969434637202,0.0,83.0,0.388006477873223
7 : AV-WZ,0,0.01,0.98,0.02,8,800,43,3.0,36.5422501393786,-1.3327411898216364,0.0,117.0,48.74720407870047,0.11470018732135957,0.0,118.0,0.779841423928679
7 : AV-WZ,0,0.01,0.98,0.02,8,1000,43,2.0,38.08380398777937,-4.494196080481614,0.0,153.0,47.90907570680337,0.34184453598980824,0.0,154.0,1.0960979025690905
7 : AV-WZ,0,0.01,0.98,0.02,8,1200,43,3.0,36.029853738408924,-0.9546229455779768,0.0,176.0,47.28928933284739,0.2925612900173973,0.0,178.0,2.0492402556158713
7 : AV-WZ,0,0.01,0.98,0.02,8,1500,43,5.0,30.15082176103384,-5.0645429649345655,0.0,219.0,41.471107653833656,1.5657484732596731,0.0,221.0,5.760270684905856
7 : AV-WZ,0,0.01,0.98,0.02,8,1800,43,28.0,27.254447427724138,-3.6064005054631774,0.0,224.0,31.0338080801639,1.4445241623212202,0.6419642857142842,249.0,23.521536347922723
7 : AV-WZ,0,0.01,0.98,0.02,8,2000,43,32.0,30.718735823005026,-1.9973117683778587,0.2874999999999995,232.0,30.703997491777667,1.2345035100428978,2.96810344827587,261.0,37.84898171001822
7 : AV-WZ,0.19,0.01,0.78,0.02,1,600,43,2.0,33.4121349519664,-10.063446494943976,0.0,81.0,51.7666392707674,-0.7964532649176221,0.0,82.0,0.4649345552714629
7 : AV-WZ,0.19,0.01,0.78,0.02,1,800,43,2.0,38.43117774927888,2.647346290810009,0.0,118.0,51.055844567036544,-0.774873104210991,0.0,118.0,0.49772866647529557
7 : AV-WZ,0.19,0.01,0.78,0.02,1,1000,43,4.0,38.81508996171107,-1.8478254642521597,0.0,151.0,50.04849426615685,-0.7594505976241335,0.0,154.0,0.6764533623412462
7 : AV-WZ,0.19,0.01,0.78,0.02,1,1200,43,9.0,34.52152564587636,-5.5931955902125186,0.0,170.0,48.64701694180242,-0.898874690321017,0.0,179.0,1.116104358968951
7 : AV-WZ,0.19,0.01,0.78,0.02,1,1500,43,30.0,27.626415061006174,-5.426466495083496,0.0,197.0,39.72764870750953,-1.0249712583358064,0.16497461928934004,223.0,4.528150505755247
7 : AV-WZ,0.19,0.01,0.78,0.02,1,1800,43,78.0,14.838164834303681,-2.5600199823042384,2.7217948717948683,180.0,27.774252085496112,-0.6529382817210272,2.8977777777777747,250.0,18.978288270612676
7 : AV-WZ,0.19,0.01,0.78,0.02,1,2000,43,100.0,11.580417259295901,-0.9512398078364774,3.7580000000000036,154.0,18.627086909390158,-0.3648616900474167,23.100000000000033,245.0,49.56734180907389
7 : AV-WZ,0.19,0.01,0.78,0.02,2,600,43,0.0,0.0,0.0,0.0,83.0,50.726945983548376,-0.07451451098636767,0.0,82.0,0.2714581826216888
7 : AV-WZ,0.19,0.01,0.78,0.02,2,800,43,5.0,37.22564199518641,-3.3292017958252123,0.0,115.0,49.68568472857447,-0.1308685973704495,0.0,118.0,0.5177729959779122
7 : AV-WZ,0.19,0.01,0.78,0.02,2,1000,43,3.0,32.15630750272869,-9.328588485049169,0.0,152.0,47.760047445921906,-0.17310058708272494,0.0,154.0,1.069556069551932
7 : AV-WZ,0.19,0.01,0.78,0.02,2,1200,43,9.0,36.376170033599365,-1.7998549992131059,0.0,170.0,47.52673410824727,-0.5735384348855187,0.0,179.0,1.2319900528419367
7 : AV-WZ,0.19,0.01,0.78,0.02,2,1500,43,25.0,31.05218712083869,-4.665367071042424,0.0,202.0,39.682821037848896,-0.7973701813016509,0.008415841584158418,225.0,3.8253641522853368
7 : AV-WZ,0.19,0.01,0.78,0.02,2,1800,43,95.0,11.748515944366511,-2.09686735742404,5.772631578947361,153.0,18.77338306456895,-0.38164784575241806,10.211764705882384,240.0,34.34056032507814
7 : AV-WZ,0.19,0.01,0.78,0.02,2,2000,43,94.0,12.392682310556218,-0.844946612630427,4.419148936170204,159.0,20.427384398913222,0.022635298417347783,19.375471698113202,246.0,44.59172099243988
7 : AV-WZ,0.19,0.01,0.78,0.02,3,600,43,0.0,0.0,0.0,0.0,83.0,50.81296010521964,-0.031095557265410446,0.0,82.0,0.2983565552631883
7 : AV-WZ,0.19,0.01,0.78,0.02,3,800,43,5.0,37.4225571526266,0.12727382239639848,0.0,115.0,49.66260837039121,-0.09216497344592514,0.0,118.0,0.5742848206058476
7 : AV-WZ,0.19,0.01,0.78,0.02,3,1000,43,4.0,38.736288756579015,-0.15121913197314912,0.0,151.0,48.645552741595424,0.1530736567549085,0.0,154.0,0.776100530749071
7 : AV-WZ,0.19,0.01,0.78,0.02,3,1200,43,6.0,35.3552970525037,-5.424708628615093,0.0,173.0,47.52529090757703,-0.49077332016382935,0.0,179.0,1.1959865524200888
7 : AV-WZ,0.19,0.01,0.78,0.02,3,1500,43,26.0,31.817194547747064,-6.145980710316708,0.0,200.0,36.019730268917364,-0.5439612989643805,0.0,222.0,4.883830552449234
7 : AV-WZ,0.19,0.01,0.78,0.02,3,1800,43,80.0,10.727173839125465,-1.3899350189652733,6.6950000000000305,165.0,19.52707382820006,-0.1607465505223314,11.375151515151568,238.0,37.36933079544681
7 : AV-WZ,0.19,0.01,0.78,0.02,3,2000,43,87.0,12.777462564176346,-1.5797157782655329,8.085057471264367,168.0,22.50112783581114,0.07525836765118808,17.505357142857154,248.0,41.43061065070653
7 : AV-WZ,0.19,0.01,0.78,0.02,4,600,43,0.0,0.0,0.0,0.0,83.0,50.7711041295429,-0.09037462058643307,0.0,82.0,0.29538946637564784
7 : AV-WZ,0.19,0.01,0.78,0.02,4,800,43,4.0,37.89124192577639,1.3236731454050046,0.0,116.0,49.5974423077219,-0.020334257091054624,0.0,118.0,0.5782790089687881
7 : AV-WZ,0.19,0.01,0.78,0.02,4,1000,43,4.0,38.5021610462599,-0.2336864170353165,0.0,151.0,48.249788554462626,0.14026416191027588,0.0,154.0,0.814313607117285
7 : AV-WZ,0.19,0.01,0.78,0.02,4,1200,43,3.0,37.68740522013688,-2.3044829401553883,0.0,176.0,47.69587221510544,-0.01266733399513167,0.0,179.0,1.0892515961096854
7 : AV-WZ,0.19,0.01,0.78,0.02,4,1500,43,20.0,31.073432449857286,-5.55446453246335,0.0,207.0,39.027679117145595,-0.8431221653685169,0.0,224.0,3.99153376967005
7 : AV-WZ,0.19,0.01,0.78,0.02,4,1800,43,85.0,12.50362685778518,-1.9478834012204649,2.396470588235293,167.0,20.420901790834964,-0.0798076259999195,7.260479041916178,244.0,30.631013698966388
7 : AV-WZ,0.19,0.01,0.78,0.02,4,2000,43,91.0,11.766408711427793,-0.8348956022543036,7.524175824175827,163.0,20.71350079189913,-0.21532043152179722,18.93190184049085,246.0,44.989486967906366
7 : AV-WZ,0.19,0.01,0.78,0.02,5,600,43,0.0,0.0,0.0,0.0,83.0,50.43728626548194,0.3017504496840269,0.0,82.0,0.395217187414473
7 : AV-WZ,0.19,0.01,0.78,0.02,5,800,43,1.0,34.28426646264648,0.0,0.0,119.0,49.23347054272416,0.10064402319739767,0.0,118.0,0.6470320967270464
7 : AV-WZ,0.19,0.01,0.78,0.02,5,1000,43,0.0,0.0,0.0,0.0,155.0,48.872099986218714,0.22900295262227957,0.0,154.0,0.9107765636167088
7 : AV-WZ,0.19,0.01,0.78,0.02,5,1200,43,2.0,37.19404503288279,-3.8685033930919435,0.0,177.0,47.59468103414913,0.257372715012466,0.0,179.0,1.0680126766519364
7 : AV-WZ,0.19,0.01,0.78,0.02,5,1500,43,9.0,33.17609732204694,-1.0844875758671417,0.0,217.0,42.56813407755656,0.2773059804380432,0.0,224.0,3.045324845248841
7 : AV-WZ,0.19,0.01,0.78,0.02,5,1800,43,53.0,22.940225235329844,-4.251187035969704,0.0,218.0,27.12992897879418,0.1896364521116429,0.32889908256880723,263.0,13.74926491634036
7 : AV-WZ,0.19,0.01,0.78,0.02,5,2000,43,88.0,14.806990500169597,-1.2255844963768594,0.21477272727272698,172.0,18.345250182487387,0.08135746937299232,20.35232558139546,254.0,49.5454188275578
7 : AV-WZ,0.19,0.01,0.78,0.02,6,600,43,0.0,0.0,0.0,0.0,83.0,50.836029926619375,-0.007863744510425383,0.0,82.0,0.3897751600460587
7 : AV-WZ,0.19,0.01,0.78,0.02,6,800,43,1.0,35.92656008519922,3.953237667696895,0.0,119.0,49.82826755520529,0.16236311968552464,0.0,118.0,0.7857769802094379
7 : AV-WZ,0.19,0.01,0.78,0.02,6,1000,43,3.0,33.110142859569144,-6.460724957141912,0.0,152.0,48.58263411835906,0.056720910579020074,0.0,154.0,0.9904050970913921
7 : AV-WZ,0.19,0.01,0.78,0.02,6,1200,43,3.0,30.74518801672082,-9.771491433541287,0.0,176.0,46.77734688854566,0.6860205936811729,0.0,178.0,1.9053287634177591
7 : AV-WZ,0.19,0.01,0.78,0.02,6,1500,43,10.0,27.35284529187391,-5.968009631601139,0.0,216.0,38.22278180760738,0.8965662754825316,0.0,225.0,7.388842485584876
7 : AV-WZ,0.19,0.01,0.78,0.02,6,1800,43,53.0,20.951723640469705,-3.9056200481688936,0.0,202.0,21.703369216275643,0.2582085371636142,7.596534653465365,252.0,33.34455449144395
7 : AV-WZ,0.19,0.01,0.78,0.02,6,2000,43,58.0,19.856088971117593,-2.8314473895940453,0.0,202.0,22.960074205827258,0.4631145207106918,15.359405940594142,253.0,43.717731485417694
7 : AV-WZ,0.19,0.01,0.78,0.02,7,600,43,1.0,32.64270861357695,-9.604306934256522,0.0,82.0,50.738632380420434,0.043670559519137814,0.0,82.0,0.3661942076210701
7 : AV-WZ,0.19,0.01,0.78,0.02,7,800,43,1.0,35.92656008519922,3.953237667696895,0.0,119.0,49.74096153959402,0.2704791945530743,0.0,118.0,0.7614611829917326
7 : AV-WZ,0.19,0.01,0.78,0.02,7,1000,43,4.0,32.986270856598274,-7.242495186946122,0.0,151.0,48.35142642852813,0.1475159122049709,0.0,154.0,1.0349661624614404
7 : AV-WZ,0.19,0.01,0.78,0.02,7,1200,43,4.0,31.422862650561644,-9.799678021998579,0.0,175.0,47.29964554746,0.04770969825509803,0.0,178.0,1.5256339154105063
7 : AV-WZ,0.19,0.01,0.78,0.02,7,1500,43,10.0,30.521030545483626,-5.8760591214305355,0.0,218.0,40.394439763683856,0.9827367512154395,0.0,226.0,4.289286792277944
7 : AV-WZ,0.19,0.01,0.78,0.02,7,1800,43,48.0,22.613454059161093,-3.6446621274101454,0.0,211.0,23.247687017999827,0.5724180406528714,0.6175355450236962,255.0,25.91952966186182
7 : AV-WZ,0.19,0.01,0.78,0.02,7,2000,43,60.0,20.850795412784798,-2.725020613638986,0.0,205.0,20.967116644128872,0.13261562927390114,9.351707317073222,259.0,45.670385247438894
7 : AV-WZ,0.19,0.01,0.78,0.02,8,600,43,0.0,0.0,0.0,0.0,83.0,50.956426659346256,0.005390568370009967,0.0,83.0,0.37716808214533043
7 : AV-WZ,0.19,0.01,0.78,0.02,8,800,43,1.0,34.74849743899048,0.0,0.0,119.0,50.272360030968734,-0.031197295609975313,0.0,118.0,0.6722931132601191
7 : AV-WZ,0.19,0.01,0.78,0.02,8,1000,43,1.0,32.61390424985947,-9.587364595666884,0.0,154.0,49.00678331039826,0.2660313986103035,0.0,154.0,1.0732257723930965
7 : AV-WZ,0.19,0.01,0.78,0.02,8,1200,43,2.0,38.36507065476635,2.1792092448442353,0.0,177.0,48.9327981041519,0.5767635454621182,0.0,178.0,1.8185618907652836
7 : AV-WZ,0.19,0.01,0.78,0.02,8,1500,43,6.0,32.919387838602724,-5.157827118879939,0.0,220.0,41.480378793679336,1.0305042292217437,0.0,224.0,4.8376039698246
7 : AV-WZ,0.19,0.01,0.78,0.02,8,1800,43,26.0,30.11766638695916,-2.5982943086397694,0.0,243.0,34.81325284661937,1.4421989988917048,0.0,266.0,14.93749585283946
7 : AV-WZ,0.19,0.01,0.78,0.02,8,2000,43,31.0,27.550173372478696,-3.0048603056404746,0.0,239.0,29.40470410893996,1.018444344320105,1.619665271966525,267.0,35.34541313033064
7 : AV-WZ,0.49,0.01,0.48,0.02,1,600,43,2.0,43.14115807140748,4.766162181240961,0.0,81.0,53.701206753918065,-0.8064826022764162,0.0,82.0,0.3452356978260977
7 : AV-WZ,0.49,0.01,0.48,0.02,1,800,43,5.0,34.644329865274486,-3.9059139773057328,0.0,115.0,52.69529431692044,-0.9492064074799526,0.0,119.0,0.6015471527046895
7 : AV-WZ,0.49,0.01,0.48,0.02,1,1000,43,4.0,32.48735112607541,-6.966820545077726,0.0,151.0,51.685947817801484,-0.9032640997265986,0.0,154.0,0.7043405640886056
7 : AV-WZ,0.49,0.01,0.48,0.02,1,1200,43,5.0,35.138381730179,-0.7217279830158531,0.0,175.0,51.91843510363015,-0.8760167755939336,0.0,179.0,0.7563539229269282
7 : AV-WZ,0.49,0.01,0.48,0.02,1,1500,43,15.0,35.4793991405496,-4.841206480977827,0.0,214.0,49.696387944272814,-0.8912447656764791,0.0,228.0,1.1917060039010663
7 : AV-WZ,0.49,0.01,0.48,0.02,1,1800,43,55.0,23.434126622670263,-5.989327194273108,0.8909090909090909,225.0,32.16176805221836,-1.6678755063094783,0.050222222222222175,270.0,8.776723744290692
7 : AV-WZ,0.49,0.01,0.48,0.02,1,2000,43,97.0,9.576653399568041,-1.17602020993793,17.757731958762946,174.0,19.662243328221354,-0.6297391359029801,11.610344827586264,262.0,41.462753984246326
7 : AV-WZ,0.49,0.01,0.48,0.02,2,600,43,0.0,0.0,0.0,0.0,83.0,52.469097115775156,-0.03933397717585782,0.0,82.0,0.2765137574918136
7 : AV-WZ,0.49,0.01,0.48,0.02,2,800,43,5.0,32.916972524894696,-6.696804792103956,0.0,115.0,51.33743769412767,-0.07257635057434601,0.0,119.0,0.7180123172750165
7 : AV-WZ,0.49,0.01,0.48,0.02,2,1000,43,4.0,34.585887090344706,-3.326482939791992,0.0,151.0,50.993772455361714,-0.040576410376771614,0.0,154.0,0.7263902784792504
7 : AV-WZ,0.49,0.01,0.48,0.02,2,1200,43,4.0,33.402870871974066,-3.017488756672712,0.0,176.0,50.97854534979142,-0.1512063778571549,0.0,179.0,0.7714548573623012
7 : AV-WZ,0.49,0.01,0.48,0.02,2,1500,43,14.0,32.63249629200881,-4.388385892299209,0.0,215.0,46.4302064835807,-0.6461140900248833,0.0,228.0,1.9803824158208347
7 : AV-WZ,0.49,0.01,0.48,0.02,2,1800,43,47.0,25.91230662321049,-6.034199612952176,0.0,230.0,32.8465279648562,-1.4658074710576856,0.41434782608695625,270.0,7.968147428760326
7 : AV-WZ,0.49,0.01,0.48,0.02,2,2000,43,94.0,10.343994156406712,-1.8675884682852226,8.334042553191503,177.0,20.061869825941265,-0.5200968549478042,11.277966101694966,260.0,36.20218795903597
7 : AV-WZ,0.49,0.01,0.48,0.02,3,600,43,0.0,0.0,0.0,0.0,83.0,52.57138729220602,-0.030264333128474864,0.0,82.0,0.2820870258041767
7 : AV-WZ,0.49,0.01,0.48,0.02,3,800,43,4.0,32.83616433083415,-6.800818648516244,0.0,116.0,51.22577438035703,-0.09789725672805842,0.0,119.0,0.785893286410197
7 : AV-WZ,0.49,0.01,0.48,0.02,3,1000,43,2.0,30.518164915403574,-8.49776549846715,0.0,153.0,50.98809492285256,-0.1739443462187928,0.0,154.0,0.7533946060343664
7 : AV-WZ,0.49,0.01,0.48,0.02,3,1200,43,4.0,35.67723572944702,-1.6666965094686166,0.0,176.0,51.120197129178166,-0.2498933093650887,0.0,179.0,0.8039010190526832
7 : AV-WZ,0.49,0.01,0.48,0.02,3,1500,43,6.0,35.2214583278135,-3.663421016701926,0.0,223.0,46.6521519590059,-0.2553031795742948,0.0,228.0,1.7310417430920468
7 : AV-WZ,0.49,0.01,0.48,0.02,3,1800,43,21.0,30.575063093768208,-6.516928809040833,0.0,263.0,40.412271457580715,-0.3319311304541015,0.0,281.0,4.163931706635556
7 : AV-WZ,0.49,0.01,0.48,0.02,3,2000,43,75.0,12.353418706912938,-1.928178836019627,15.317333333333178,205.0,24.151472839256424,-0.04419190531194723,2.3858536585365817,272.0,30.537908934822614
7 : AV-WZ,0.49,0.01,0.48,0.02,4,600,43,0.0,0.0,0.0,0.0,83.0,52.54786144071091,-0.03353889627166167,0.0,82.0,0.28001220569156005
7 : AV-WZ,0.49,0.01,0.48,0.02,4,800,43,4.0,32.9647764630676,-6.8802837295411905,0.0,116.0,51.267696715752045,-0.06094218155313954,0.0,119.0,0.7804674818318825
7 : AV-WZ,0.49,0.01,0.48,0.02,4,1000,43,3.0,34.87698470637306,-4.206030195075735,0.0,152.0,50.684869162766546,-0.11931861031131909,0.0,154.0,0.8143786789384967
7 : AV-WZ,0.49,0.01,0.48,0.02,4,1200,43,3.0,32.2110110341455,-4.023304946584951,0.0,177.0,50.43389546377061,-0.20945586724286483,0.0,179.0,0.9267016463335455
