link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,MPR,truck,Distr.,Volume,TTCs,,,
7 : AV-WZ,0,0.01,0.98,0.02,8,1800,47,150,28.30725176,-2.703900599,5.785781078,1336.6,31.05417319,1.818377262,25.94557317,1487,97.88724603,,0,0.02,8,1800,260,,0,110
7 : AV-WZ,0,0.01,0.98,0.02,8,2000,47,156.4,27.85584643,-2.715035743,5.331152976,1337,30.40684862,1.714693409,29.81908216,1493,108.2084437,,0,0.02,8,2000,296.4,,0,140
7 : AV-WZ,0,0.01,0.9,0.1,1,600,47,18.4,35.87782146,-3.248112407,0,536.2,49.72803208,-1.060173537,0,555,0.715523239,,,,,,,,,-18.4
7 : AV-WZ,0,0.01,0.9,0.1,1,800,47,37.8,36.30043372,-2.709387415,0,695,48.54459241,-0.886760105,0,733,0.883221309,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,1,1000,47,65.6,35.46890056,-3.610489694,0,852.6,46.43783323,-0.815176482,0.000761905,918.4,1.432742026,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,1,1200,47,144.6,30.73492142,-5.180257045,0,968.2,40.7933503,-0.962972165,0.03798405,1113.6,3.628790465,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,1,1500,47,557.2,11.56871051,-0.881411623,17.24796358,751.4,12.14114773,-0.01756566,55.64735766,1305.4,100.4323543,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,1,1800,47,598.8,11.04685575,-0.514629502,62.99401391,715.4,8.432345831,0.114961791,141.4088536,1314.6,216.4202549,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,1,2000,47,591,10.84601813,-0.5004786,69.85225631,725.4,8.81096273,0.174226633,150.9182029,1315.2,228.1781019,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,600,47,14.8,37.18068846,-1.303740786,0,539.8,48.66812082,-0.141296127,0,555,0.514214556,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,800,47,29.8,36.05258654,-2.184637753,0,703,47.3939906,-0.145272762,0,733.2,0.823194675,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,1000,47,53.6,35.36076785,-3.405481292,0,864.6,45.57239484,-0.204110923,0,918.2,1.326791983,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,1200,47,115,31.14219174,-4.3620285,0,997.4,40.95657476,-0.279430552,0.070937495,1112.4,3.439772082,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,1500,47,504.2,14.2072604,-1.342386969,10.68147449,819.4,13.26207533,0.057159417,42.16303996,1321.4,84.57119909,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,1800,47,508.6,14.15914605,-0.87046333,47.32349418,837.4,11.33154695,0.353694152,109.1233432,1345,193.583889,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,2,2000,47,494.8,15.01356851,-0.84115512,50.12687513,854.6,11.58144024,0.358320081,116.0749134,1351.4,202.7134606,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,600,47,13.4,37.00329149,-1.77393221,0,541.2,48.51282092,-0.105127183,0,555,0.596995102,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,800,47,26.4,36.40948092,-2.480756901,0,706.4,47.36948727,-0.052662513,0,733.4,0.85352186,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,1000,47,44,35.63221292,-3.420515505,0,874.2,45.60292797,-0.106729396,0,918,1.343143128,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,1200,47,96.2,31.90223977,-4.722760573,0,1016.4,41.05488538,-0.144143886,0.04118028,1113.8,3.224137369,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,1500,47,440,16.98227202,-1.948751906,7.231786283,901.8,16.08493439,0.24162065,27.11730859,1339.8,67.55402828,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,1800,47,443.8,16.57173232,-1.230875756,41.22802747,920.4,13.12881661,0.496834841,93.72401529,1362.4,179.718084,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,3,2000,47,463.6,15.48630022,-1.141337123,41.89559159,896.2,12.86021355,0.501749774,105.0247999,1360,193.5603497,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,600,47,13.2,37.44286549,-1.12242784,0,541.4,48.48648592,-0.100178717,0,555,0.604250581,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,800,47,26.4,35.87838284,-2.337537488,0,706.4,47.33328359,-0.045601087,0,733.4,0.89136043,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,1000,47,44.6,35.03923475,-3.232602118,0,873.6,45.35383313,-0.050415582,0.001284607,918.2,1.464766474,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,1200,47,90.4,32.71382403,-4.32711334,0,1022.2,41.56363949,-0.102033538,0.001573627,1113.8,2.911978692,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,1500,47,418.8,16.56956577,-1.915451625,7.497437544,916,17.8194208,0.307493856,32.18000827,1332.6,72.45677971,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,1800,47,420.6,17.30985051,-1.408985846,38.45555522,948.6,13.98353651,0.560559315,87.6015027,1370,175.4596547,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,4,2000,47,417.2,17.31615368,-1.312543525,39.80549451,956.4,14.39992676,0.673631056,92.80956186,1375,184.4280721,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,600,47,8.4,36.67599535,-0.97665426,0,546.2,48.14634409,0.257210768,0,555.2,0.618743019,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,800,47,16,37.76022309,-0.031580894,0,716.8,47.27254839,0.291152511,0,733.4,0.884352118,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,1000,47,26,34.94988911,-2.537334772,0,892.2,45.59632055,0.400854351,0,918.6,1.543272977,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,1200,47,57,32.85792444,-3.390851153,0,1056,41.47978566,0.638979118,0.000222635,1113.6,3.495185242,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,1500,47,277.6,21.37831756,-2.706372568,0.57262665,1089.6,24.85426792,0.733473073,11.07223995,1366.2,38.09656458,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,1800,47,308.4,21.07150878,-2.379328872,19.59749438,1099.6,19.43918944,0.95987552,62.92956456,1410.4,149.9165646,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,5,2000,47,290.2,21.26170116,-2.286118847,21.58109978,1119.2,19.87300404,1.096532505,69.4557012,1411.6,160.0908427,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,600,47,7.4,35.40868364,-2.738390981,0,547,48.50239271,0.279313265,0,555.2,0.719212157,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,800,47,9.6,36.28497845,-1.77501786,0,723.2,47.46817412,0.406935372,0,733.4,1.093710839,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,1000,47,20.4,35.71109501,-1.518036395,0,897.8,45.71541283,0.56141404,0,918.6,1.829217072,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,1200,47,45.6,32.8870127,-3.177383847,0,1067.6,41.97818681,0.731241357,0.000312213,1113.6,4.032288617,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,1500,47,210.8,23.99545458,-2.770298646,1.144686265,1151.2,27.20823653,1.182314997,7.607747965,1360,37.10869801,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,1800,47,212.4,23.70859612,-2.757144061,11.62539568,1189.8,23.77296011,1.520844128,47.69106024,1403.6,133.3851406,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,6,2000,47,223.6,23.59541067,-2.507593348,15.43471305,1178.6,23.3710568,1.411629521,53.98145915,1402,143.3308308,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,600,47,8.8,35.17940978,-2.892792111,0,545.6,48.46924633,0.23542443,0,555.2,0.691209456,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,800,47,11.8,35.87880962,-2.383332914,0,721,47.39728662,0.407531011,0,733.4,1.061020858,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,1000,47,27.8,35.24533928,-1.928031349,0,890.4,45.53672673,0.490398592,0,918.6,1.832529043,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,1200,47,52.2,33.56591329,-3.010548674,0,1060.8,41.88125899,0.672884928,0.028216091,1113.6,3.802458732,,,,,,,,,
